common_name,description,folklore,link,medicinal_uses,origins,properties,tags
"How to Use: 
	Peppermint ","We have had a long love affair with mints, as Pliny(23 AD � 79 AD) said: , Peppermint's uplifting aroma wafting up from a hot cup of tea can start to settle
an upset stomach even before you drink it. Peppermint's antispasmodic effect
calms nausea and helps prevent, after a heavy meal. Peppermint
is often combined with , to help indigestion. Those with ,, irritable
bowel syndrome, can find relief with enteric coated capsules of peppermint. ,Peppermint is a first herb of choice for  treatment of , and flu because
it acts to relieve multiple symptoms at once: ,,, and  ,, , and fever. You can drink a hot cup of ,,, in the sick room to ease the breath and kill germs, and use the
oil in chest and throat massages. Peppermint also makes a good additive for a
foot bath.,

You most likely have some ""minty"" products in your home now, with the taste and
aroma of mint found in toothpaste, soaps, candies, and more. The menthol used
as a key ingredient in creams, cough medicines, decongestants,
and cigarettes sold at the drugstore is almost certainly manufactured in
a lab and not from natural sources. These artificial mint flavors are to mint what 'truthiness' is to truth, in order to reap the many health benefits
of mint you need the real thing.  Luckily peppermint and spearmint are especially
widespread and easy to acquire, both as plants for the garden, and dried mint
leaf teas and essential oil from any natural product supplier.","
	
	
	",<200 https://www.anniesremedy.com/mentha-piperita-peppermint.php>,"* Aromatherapy,* Bronchitis,* Cardiovascular,* Christmas,* Colds,* Congestion,* Culinary/Kitchen,* Fatigue,* Flu,* Gastritis/ulcer,* Halitosis,* Headache/Migraine,* Herbal Teas,* IBS,* Insect Repellent,* Lice,* Nausea,* Nerve/Back Pain,* Pain Relief,* Sinus",,"* Adaptogens,* Analgesic,* Anodyne,* Antifungal,* Antioxidant,* Antispasmodic,* Aromatic,* Astringent,* Breath,* Carminative,* Cholagogue,* Cordial,* Diaphoretic,* Emmenagogue,* Expectorant,* Febrifuge,* Hepatic,* Insect repellents,* Mental Clarity,* Mood,* Nervine,* Refrigerant,* Skin tonic,* Stimulant,* Vasoconstrictor,* Vermifuge","* Aromatherapy,* Bronchitis,* Cardiovascular,* Christmas,* Colds,* Congestion,* Culinary/Kitchen,* Fatigue,* Flu,* Gastritis/ulcer,* Halitosis,* Headache/Migraine,* Herbal Teas,* IBS,* Insect Repellent,* Lice,* Nausea,* Nerve/Back Pain,* Pain Relief,* Sinus, gas and bloating,IBS,colds,congestion,headaches,muscle
aches,nausea"
"How to Use: 
	Milkweed ","The contrast between these two descriptions of the iconic monarch butterfly in our American landscape makes clear how much has been lost. We notice the monarch and bees because they are iconic insects, But what do you think is happening to everything else?
A major cause is farming with Roundup, a herbicide that kills virtually all plants except crops that are genetically modified to survive it.

As a result, millions of acres of native plants, especially milkweed, an important source of nectar for many species, and vital for monarch butterfly larvae, have been wiped out. One study showed that Iowa has lost almost 60 percent of its milkweed, and another found 90 percent was gone. The agricultural landscape has been sterilized. You can help! Become an active participant now. Make a difference today. It all starts with one seed...and  you to plant it.
,
 
		
	,
	
	,, Pleurisy Root	
	 
	 											","
	
	
	 ",<200 https://www.anniesremedy.com/asclepias-syriaca-milkweed.php>,* Warts," Jim Robbins,Live Monarach ","* Cathartic,* Diaphoretic,* emetic,* Laxative","* Warts, heart
disease, warts"
"How to Use: 
	Milk Thistle ","
	
 
, 
 , This handsome plant has been used for , for thousands of years, but until recently was one of herbal medicine's best kept secrets. Silymarin, a constituent of milk thistle is now listed in The Mereck Index as a liver protector and actually helps to regenerate liver cells and protects against damage by toxins and viruses. Whole seeds of milk thistle or a tincture made from them are now used in the United States as well as Europe for both protection and regeneration of the liver. Powdered seeds are also available in capsules.  A frequent drinker, recovering ,, or anyone taking harsh drugs long term, prescription or otherwise, should take milk thistle extract on a daily basis. , The German Commission E has approved an extract of 70% silymarin in supporting healthy liver function. , The Commission has also approved milk thistle in tea from for minor dyspeptic complaints. Milk thistle combines well with dandelion, peppermint or bitters thus combining hepatropic (liver) and choleretic(gallbladder) herbal actions to support better digestion. ","
	
	
	 ",<200 https://www.anniesremedy.com/silybum-marianum-milk-thistle-seed.php>,"* Addiction,* Alcoholism,* Liver,* Longevity Tonics",European,"* Bitter,* Cholagogue,* Depurative,* Galactagogue,* Hepatic,* Uterine Tonic","* Addiction,* Alcoholism,* Liver,* Longevity Tonics,liver ailments,alcoholic"
"How to Use: 
	Mexican Oregano ","Regional Traditions :, * 
,
 						","
	
	
	 ",<200 https://www.anniesremedy.com/lippia-graveolens-mexican-oregano.php>,* Culinary/Kitchen,North America,,"* Culinary/Kitchen,late or scanty periods"
"How to Use: 
	Meadowsweet ","Meadowsweet is a mild, but effective anti-inflammatory herb used to treat ,
and other ,. Meadowsweet leaves and flowers contain salicylates,
compounds that are converted by the body to aspirin. Meadowsweet is especially
helpful for those arthritis sufferers who have  , (inflammation of the
stomach lining) from years of taking NSAIDs. While it may seem contradictory
at first, since aspirin and salicylates are know for causing stomach upset, but
years of observation and historic use confirm that meadowsweet is effective in
a wide range of ,, including  , in children,. This makes a strong case for the whole herb
being much more than just the sum of its ""active"" ingredients.","
	
	
	",<200 https://www.anniesremedy.com/filipendula-ulmaria-meadowsweet.php>,"* Arthritis,* Colds,* Congestion,* Diarrhea,* Flu,* Gastritis/ulcer,* Herbal Teas,* Lupus,* Rheumatoid_arthritis","
,
, 
 ,European","* Astringent,* Depurative,* Diuretic,* Febrifuge,* Tonic","* Arthritis,* Colds,* Congestion,* Diarrhea,* Flu,* Gastritis/ulcer,* Herbal Teas,* Lupus,* Rheumatoid_arthritis,arthritis,aches and pains,gastritis,,digestive problems,diarrhea"
"How to Use: 
	MayApple ","Regional Traditions :, * 
,
 						","
	
	
	Used medicinally by Native Americans, the and studied by the Eclectics in the 19th century. Dr. John King 'discovered' the root's active resinous compounds in 1835. ",<200 https://www.anniesremedy.com/podophyllum-peltatum-mayapple.php>,* Warts,North America,"* Cathartic,* emetic,* Vermifuge","* Warts, warts"
"How to Use: 
	Mallow, Marsh ","
	
 
, 
 , Marshmallow is a soothing and healing plant mainly due to it's high mucilage
  content. This spongy, gummy fiber soothes all the way down from the mouth and
  throat to the urinary tract., It is both , (soothing
  on the mucus membranes on the inside) and , (soothing
  to inflamed skin on the outside)., Mallow acts as a mild expectorant
  and helps to clear    , while
  it coats , making
  it very useful in the treatment of harsh  ,.
  Marshmallow's tannins make it a popular treatment for , and ,, it also acts as a light diuretic.  To get the full benefits of
  marshmallow for these conditions, add chopped marshmallow root to herbal teas
  as opposed to taking it in capsule form.,Mallow helps to , via it's large concentration of both soluble fiber (pectin), and the mucilage it contains. Soluble fiber in food and herbs helps to slow down the release of sugar into the blood stream, helping to control blood sugar spikes after eating.
","
	
	
	The generic name Althaea is derived from the greek, ",<200 https://www.anniesremedy.com/althaea-officinalis-marsh-mallow-root.php>,"* Bladder Infection (UTI),* Bronchitis,* Burns,* Gastritis/ulcer,* Nausea,* Pet,* Sore Throat",,"* Anti-inflammatory,* Antibacterial,* Breath,* Demulcent,* Emollient,* Hypoglycemic","* Bladder Infection (UTI),* Bronchitis,* Burns,* Gastritis/ulcer,* Nausea,* Pet,* Sore Throat,congestion,sore throats,coughs,UTI, stomach
  ulcers,control blood sugar"
"How to Use: 
	Sweet Marjoram ","Sweet marjoram was used historically to treat ,.  Marjoram was also used in combination with other calming
  herbs to promote healthy restful  ,,
  and the dried leaves make an excellent stuffing for sleep pillows. Sweet marjoram
  essential oil is used in aromatherapy for an ,. ,Sweet marjoram, along with other , may offer a way to help manage ,. These herbs contain several flavonoids that inhibit DPP-IV and should be investigated further regarding their potential in diabetes management. ","
	
	
	 ",<200 https://www.anniesremedy.com/origanum-majorana-marjoram-sweet.php>,"* Aromatherapy,* Culinary/Kitchen,* Sleep/Insomnia",,"* Analgesic,* Antioxidant,* Antispasmodic,* Aromatic,* Calm,* Carminative,* Cordial,* Digestive,* Emmenagogue,* Expectorant,* Hypotensive,* Laxative,* Nervine,* Sedative,* Warm","* Aromatherapy,* Culinary/Kitchen,* Sleep/Insomnia,anxiety,sleep,culinary herbs ,diabetes"
"How to Use: 
	Maple ",,"
	
	
	 ",<200 https://www.anniesremedy.com/acer-saccharinum-maple.php>,* Spring Tonics,,,* Spring Tonics
"How to Use: 
	Orange "," Oranges are a healthy source of vitamin C and other nutrients as well as one of the most versatile ,. Orange oils are well known as , and wood surface conditioners. 
Orange peel is used as a zest in cooking and also traditionally used as a tea.  ,
	
	Mandarin Orange - (tangerine) , ,The red, aromatic peel of the Mandarin orange is used in Traditional Chinese Medicine to treat allergic reactions and digestive upsets. Orange can be combined with , to relieve ,, with magnolia for bloating, with rhubarb root for constipation, and with gardenia fruit for slow digestion after long-term illness. ","
	
	
	 The first mention of oranges comes from the writings of the Arabs, both the common and official names are derived from the Sanskirt nagaranga thought the Arabic naranj. The Romans drank orange-flower water to reduce hangovers. ",<200 https://www.anniesremedy.com/citrus-sinensis-orange.php>,"* Aromatherapy,* Cardiovascular,* Chinese,* Facial Care,* Green Home,* Herbal Teas,* Sleep/Insomnia",Traditional Chinese Medicine,"* Antidepressant,* Antifungal,* Antioxidant,* Antiscorbutic,* Antispasmodic,* AntiViral,* Aphrodisiac,* Aromatic,* Astringent,* Calm,* Cordial,* Cytophylactic,* Deodorant/Perfumes,* Depurative,* Digestive,* Emmenagogue,* Hypotensive,* Mood,* Nervine,* Refrigerant,* Sedative,* Stress,* Vasodilator","* Aromatherapy,* Cardiovascular,* Chinese,* Facial Care,* Green Home,* Herbal Teas,* Sleep/Insomnia,aromatherapy oils,cleansing agents,menstrual cramps"
"How to Use: 
	Maitake mushroom "," Maitake mushroom's use as an , arose in classic Chinese and Japanese medicine.  Maitake mushrooms extracts have shown to increase activity of immune cells in laboratory tests, which bear out its traditional use as a , This delicious mushroom also contains a number of polysaccharides (beta-glucan) that have been shown to fight the formation and growth of tumors, putting maitake in use in , strategies., Maitake helps to protect and support the , and can ,. Mushroom extracts can also have a long term beneficial effect on 
,, and may also be useful for ","
	
	
	 ",<200 https://www.anniesremedy.com/grifola-frondosa-maitake-mushroom.php>,"* Cancer Prevention,* Hypertension,* Immune,* Liver,* Longevity Tonics,* Nutrition",Traditional Chinese Medicine,"* Adaptogens,* Hepatic,* Hypotensive,* Immunostimulant","* Cancer Prevention,* Hypertension,* Immune,* Liver,* Longevity Tonics,* Nutrition,immune system tonic.,cancer prevention,liver ,blood-glucose levels,weight loss."
"How to Use: 
	Maidenhair Fern ",,"
	
	
	 ",<200 https://www.anniesremedy.com/adiantum-capillus-veneris.php>,,,,
"How to Use: 
	Magnolia ","Regional Traditions :, * 
,
 						","
	
	
	 ",<200 https://www.anniesremedy.com/magnolia-glauca.php>,,North America,,
"How to Use: 
	Maca ","Maca has been growing in world popularity over the last several years due
  to several large U.S. marketing campaigns touting its energizing and hormonal
  balancing properties. As a  ,, maca may help with menstrual irregularities, female hormonal imbalances,
  and unwanted symptoms of ,. , Maca
  root is often combined with other herbs like , to
  help increase libido, and to assist both sexes in promoting a ,.,Other uses concentrate on maca as a energy tonic in those debilitated with
  chronic , syndrome.  , The synergy of so many amino acids, vitamins, and minerals in their natural states may increase the assimilation, uptake, and utilization of them in the body makes maca a good source of energy and nutrition.
 ","
	
	
	 Native Peruvians traditionally have utilized maca since pre-Incan times for both nutritional and medicinal purposes ",<200 https://www.anniesremedy.com/lepidium-peruvianum-maca-root.php>,"* Aphrodisiac,* Immune,* Libido,* Longevity Tonics,* Menopause","
,
, 
 ","* Adaptogens,* Immunostimulant,* Phytoestrogen","* Aphrodisiac,* Immune,* Libido,* Longevity Tonics,* Menopause,female
  tonic,menopause,healthy
  sexual response,fatigue"
"How to Use: 
	Lotus ","The rhizomes and leaves of the lotus are combined with other herbs in China, India and other Asian traditional medicines to treat sunstroke, fever, diarrhoea, and the whole plant is used to treat mushroom poisoning. Lotus flowers are recommended
 as a , and the stamens are used to treat urinary frequency. Lotus is also considered to ,.  The flowers have diuretic, astringent, and cooling properties. ","
	
	
	The lotus is one of the worlds most sacred plants, and has been used in traditional medicine for thousands of years. ",<200 https://www.anniesremedy.com/nelumbo-nucifera-lotus.php>,"* Ayurvedic,* Cardiovascular,* Diarrhea,* Libido,* Sleep/Insomnia",,"* Astringent,* Circulation,* Cordial,* Demulcent,* Depurative,* Febrifuge,* Refrigerant,* Sedative,* Skin tonic,* Styptic,* Vasodilator","* Ayurvedic,* Cardiovascular,* Diarrhea,* Libido,* Sleep/Insomnia"
"How to Use: 
	Long Pepper, Pippali ",,"
	
	
	 ",<200 https://www.anniesremedy.com/piper-longum-long-pepper-pippali.php>,* Ayurvedic,"
,
, 
 ,Ayurvedic","* Antibacterial,* Astringent,* Carminative,* Cholagogue,* Diaphoretic,* Emmenagogue,* Vermifuge",* Ayurvedic
"How to Use: 
	Lobelia ","
	
 
, 
 ,Lobelia acts as a relaxant in the presence of pain, and is useful in bronchitis and asthma as an expectorant and stimulant of the respiratory system. ,The herb contains an alkaloid, lobeline, that shares many properties with nicotine, which may be helpful in treating tobacco withdrawal symptoms. A decoction can also be applied externally to minor skin irritations, and to treat sprains, and bruising. ,Native Americans smoked the leaves of lobelia, known to colonists as Indian Tobacco, to ease asthma.  , Early American  remedies called for a mix of three parts tincture of lobelia with one part tincture of capsicum (red pepper, cayenne pepper). ","
	
	
	The name Indian Tobacco might have arisen either from the peculiar tobacco-like sensation imparted to the tongue and stomach on chewing the leaves, or from the fact that the American Indians often smoked the dried leaves to produce the effect of the drug. Samuel Thomson claims to have discovered the virtues of the plant, though without doubt his first ideas of its emetic property were gathered from the Indians. He went so far as to claim it curative in all disorders, giving it with such a reckless hand that he fatally poisoned one of his patients, a certain Ezra Lovett, for which he was arrested on the charge of murder, escaping punishment because said Lovett was foolish enough to take the prescription of a man who claimed to carry such potent  drugs as ""well-my-gristle"" and ""ram-cats.""
",<200 https://www.anniesremedy.com/lobelia-inflata.php>,"* Addiction,* Asthma,* Bronchitis,* Cough,* Sore Throat,* Stop Smoking","
,
, 
 ,North America","* Aromatic,* Breath,* Diaphoretic,* emetic,* Expectorant,* Mental Clarity,* Nervine,* Stimulant","* Addiction,* Asthma,* Bronchitis,* Cough,* Sore Throat,* Stop Smoking"
"How to Use: 
	Lime ",,"
	
	
	 ",<200 https://www.anniesremedy.com/citrus-aurantifolia-lime-oil.php>,"* Aromatherapy,* Facial Care,* Sore Throat",,"* Antibacterial,* Antirheumatic,* Antiscorbutic,* Aromatic,* Astringent,* Depurative,* Energize,* Febrifuge,* Mental Clarity,* Mood,* Refresh,* Refrigerant","* Aromatherapy,* Facial Care,* Sore Throat"
"How to Use: 
	Licorice ","Many herbalists regard licorice as a natural alternative to hydrocortisone as it acts much like your body's own natural corticosteroids.  Among its many medicinal benefits, licorice is considered an adrenal tonic, in particular, it increases production of the very chemicals that aid in the body's 
 recovery from chronic , and ,. ,The herb's action as a  fast-acting anti-inflammatory agent  are attributed to the steroid-like actions of the triterpenes , and  ,GA). , is a glycoside, a carbohydrate that yields a sugar and a non-sugar when broken. It tastes 50 times sweeter than sugar and is the major triterpenoid in licorice. , blocks prostaglandin production and inflammation with an , action similar to hydrocortisone. , Although it supports the body's release of cortisol, it also inhibits some of the more detrimental side effects of that hormone's presence. It is used in many formulations to activate and increase the effects of other herbs. Licorice can also be used topically to tame autoimmune inflammatory reactions such as psoriasis. ,
 ,Licorice is often used in bronchitis and cough remedies to soothe sore throats. It is expectorant, anti-inflammatory, and directly antiviral. A licorice derivative, deglycyrrhizinated licorice (DGL) is an excellent demulcent, and  commonly used for throat, stomach, urinary, and intestinal irritations. Licorice has estrogenic and other steroidal properties and is used to normalize and regulate hormone production. 
 ,Altogether licorice root has  such wide ranging and diverse medicanal properties it is no wonder it remains one the most widely used herbs in the traditions of many cultures both East and West.","
	
	
	Licorice is not really a flavor, rather the herb licorice has the sweet, somewhat musty flavor of anise. Licorice root is derived from the Mediterranean native species ",<200 https://www.anniesremedy.com/glycyrrhiza-glabra-licorice-root.php>,"* Addiction,* Anxiety,* Bronchitis,* Candida/yeast,* Chinese,* Colds,* Congestion,* Fatigue,* IBS,* Psoriasis,* Sore Throat,* Stop Smoking",Traditional Chinese Medicine,"* Antitussive,* Breath,* Depurative,* Phytoestrogen","* Addiction,* Anxiety,* Bronchitis,* Candida/yeast,* Chinese,* Colds,* Congestion,* Fatigue,* IBS,* Psoriasis,* Sore Throat,* Stop Smoking,anxiety,stress,antiarthritic"
"How to Use: 
	Lemon Verbena ",,"
	
	
	Introduced to the Old World in the 17th century by Spanish explorers. ",<200 https://www.anniesremedy.com/aloysia-citriodora-lemon-verbena.php>,"* Culinary/Kitchen,* Diarrhea,* Nausea","
,
, 
 ","* Antispasmodic,* Aromatic,* Carminative","* Culinary/Kitchen,* Diarrhea,* Nausea"
"How to Use: 
	Lemon Balm ","Herbalists refer to the plant as lemon balm, aromatherapists use the botanical name melissa, both refer to the same plant, ,. Lemon balm is an aromatic mint with a venerable reputation for having calming properties. Lemon balm can be very helpful for those times when nerves, headaches and/or mild depression are preventing you from relaxing and getting a good nights sleep. Combined with valerian, it may even be more beneficial than many prescription sleep aids., Lemon balm's sedative and analgesic properties make it a favorite remedy for women having cramping, painful periods or any kind of stomach upset.  ,Lemon balm has antibacterial and antiviral properties, and like all of it's mint family relatives, a cup of hot lemon balm tea induces perspiration to help break a fever making the herb useful for treating colds and flu.  Lemon balm extracts are also effective against herpes, cold sores and mumps viruses. 
, A concentrated extract of Melisa is sold in Europe for the treatment of core sores, herpes HSV-1 and HSV-2, genital herpes.
","
	
	
	Melissa was known as ",<200 https://www.anniesremedy.com/melissa-officinalis-lemon-balm.php>,"* Anxiety,* Aromatherapy,* Beauty,* Cardiovascular,* Colds,* Depression,* Dysmenorrhea,* Herbal Teas,* Herpes/Cold Sores,* Hypertension,* Insect/flea Bites,* Nausea,* Pregnancy/Childbirth,* Sore Throat,* Sunburns",,"* Anodyne,* Antidepressant,* Antispasmodic,* AntiViral,* Anxiety,* Aromatic,* Calm,* Cordial,* Diaphoretic,* Digestive,* Emmenagogue,* Febrifuge,* Hypotensive,* Mood,* Nervine,* Sedative,* Stomachic,* Stress,* Uterine Tonic,* Vermifuge","* Anxiety,* Aromatherapy,* Beauty,* Cardiovascular,* Colds,* Depression,* Dysmenorrhea,* Herbal Teas,* Herpes/Cold Sores,* Hypertension,* Insect/flea Bites,* Nausea,* Pregnancy/Childbirth,* Sore Throat,* Sunburns"
"How to Use: 
	Lavender ","Quite a number of clinical trials confirm the conventional wisdom that lavender relaxes the
  body in the presence of pain, most likely by reducing anxiety levels. A calm
  mental state makes pain more bearable, lessening it's impact by reducing
  the perception of pain. ,However you don't need to depend on lab studies to gauge the effects; Lavender is so easy and safe to use, it is quite easy to judge the effects yourself as they are immediate and quite apparent.  For headaches apply a few drops of lavender oil neat to the temples. Massage
  with lavender oil at tender trigger points reduces the pain
  and tension of , in long term sufferers., Lavender combines well with  the analgesic power of ,
  to relieve all types of pain:  ,,,, and ,. Lavender can also be used in
  a massage oil to relieve the pain and arthritic stiffness older ,.    
  ,: Lavender is well regarded for it's, properties as well. It's effectiveness in treating, was first discovered by French biochemist René Gattefossé when he cooled his hand in a handy vat of lavender after burning it in a lab accident. This storied burn healed so quickly, and without scarring, that it is often cited as a seminal event in the birth a modern aromatherapy. , To make a all purpose remedy for scalds, burns, and  
,:  apply a cloth wet with 
,, then apply a few drops of lavender  essential oil directly to the burn. To treat skin abrasions first clean the affected area with warm water with 5 drops of lavender diluted in a bowl. Apply one neat drop of lavender and leave to heal. ,responds to gentle herbal oil treatments that are much lighter and less harsh than over-the-counter chemicals. Lavender skin care products are ideal for oily and combination skin.  Dot essential oils of lavender, , and, on blemishes to kill bacteria. You can also blend these essential oils with  light, astringent facial oils like almond and grapeseed, or make a facial wash with lavender herbal tea. Lavender oil is an effective antiseptic.  A lavender massage on the chest and lymph nodes is relaxing and helps kill germs. Lavender flower water, or a few drops of lavender essential oil make a good balancing and sweet smelling perfume.,Use lavender sachet bags to protect clothes against moths. Also flies and mosquitoes dislike the fragrance, use the oil in insect sprays, or add the cut flowers to flower vases. Lavender is anti-inflammatory and antiseptic. A tea made from the fresh or dried flowers can be applied as a skin wash for both pets and people to relieve itching due to flea bites and rashes, or the essential oil can be used.","
	
	
	 ",<200 https://www.anniesremedy.com/lavandula-lavender.php>,"* Acne ,* Anxiety,* Aromatherapy,* Beauty,* Burns,* Candida/yeast,* Children,* Colds,* Culinary/Kitchen,* Cuts & Wounds,* Depression,* Ear,* Facial Care,* Fibromyalgia,* Headache/Migraine,* Herbal Steam,* Hypertension,* IBS,* Insect Repellent,* Insect/flea Bites,* Lice,* Lupus,* Nausea,* Pet,* Pregnancy/Childbirth,* Skin Care,* Sleep/Insomnia",European,"* Analgesic,* Antidepressant,* Antifungal,* Antioxidant,* Antirheumatic,* AntiViral,* Aromatic,* Balance,* Calm,* Cholagogue,* Cicatrisant,* Cordial,* Cytophylactic,* Deodorant/Perfumes,* Diaphoretic,* Diuretic,* Emmenagogue,* Hypotensive,* Insect repellents,* Mood,* Muscle Relaxant,* Nervine,* Parturient,* Sedative,* Splenic,* Stress,* Vermifuge,* Vulnerary","* Acne ,* Anxiety,* Aromatherapy,* Beauty,* Burns,* Candida/yeast,* Children,* Colds,* Culinary/Kitchen,* Cuts & Wounds,* Depression,* Ear,* Facial Care,* Fibromyalgia,* Headache/Migraine,* Herbal Steam,* Hypertension,* IBS,* Insect Repellent,* Insect/flea Bites,* Lice,* Lupus,* Nausea,* Pet,* Pregnancy/Childbirth,* Skin Care,* Sleep/Insomnia,mild depression,anxiety,high blood pressure and improve circulation. ,pregnancy,fibromyalgia,arthritis, sore muscles,nerve pain,dogs, (but not cats), skin healing, burns,sunburns,Acne "
"How to Use: 
	Lemon ","Lemon is one of natures most versatile fruits, and because of its high vitamin C content, antibacterial and astringent properties, lemon is the de facto garnish in herbal teas. Lemon is used in herbal medicine to help build immunity against colds, influenza, and other viral infections. In her classic work, Grieve tells us lemon is a good astringent to use in gargles for sore throats as wise women well know. Lemon is very effective for disinfecting and cleaning household surfaces, and leaves a fresh clean scent.(2) Adding a simple slice of lemon to water not only improves taste, it provides citric acid, purifies the water, and balances Ph levels.,Lemons are an old standby for home beauty treatments. Lemon and lemon oil help to prevent wrinkles while adding a refreshing note in facial washes and masks. Applying lemon juice to facial blemishes is another popular home remedy for treating acne. Putting lemon juice on your hair and then lying in the sun was how a country girl went about getting highlights in my youth. Lemon is very astringent which is why is works so well, but also why you have to be careful not to use so much that the end result is dry, flaky skin and hair. Lemon essential oil can be used for many of the same applications as fresh lemons, without being quite as drying. Fresh lemons are becoming so expensive, especially during the winter months, that lemon essential oil may be the better bargain as well.","
	
	
	The name Limonum is derived from the Arabic Limun or Limu, which in turn probably comes from the Sanscrit Nimbuka. There are several different varieties of ",<200 https://www.anniesremedy.com/citrus-limonum-lemon.php>,"* Acne ,* Beauty,* Cellulite,* Culinary/Kitchen,* Facial Care,* Green Home,* Herbal Steam,* Herbal Teas,* Hypertension,* Sore Throat,* Varicose Veins,* Wrinkles",,"* Adaptogens,* Antibacterial,* Antiscorbutic,* AntiViral,* Aromatic,* Astringent,* Balance,* Bitter,* Calm,* Coagulant/Hemostatic,* Depurative,* Energize,* Mental Clarity,* Mood,* Refresh,* Refrigerant","* Acne ,* Beauty,* Cellulite,* Culinary/Kitchen,* Facial Care,* Green Home,* Herbal Steam,* Herbal Teas,* Hypertension,* Sore Throat,* Varicose Veins,* Wrinkles"
"How to Use: 
	Ladys Mantle "," Lady's Mantle is found both in the wild and in cultivated gardens. It has a time honored traditional use as a woman's healing herb. 
It contains salicylic acid and has sedative properties that help to alleviate ,   Mantle has astringent and styptic properties, on account of the tannin it contains. Lady's Mantle has a 'drying and binding character', according to the old herbals expressed and was traditionally considered one of the best vulneraries or wound herbs.  , can be treated with skin washes of lady's mantle to prevent infection.","
	
	
	The name Alchemilla, comes from the Arabic 'alkemelych',  alchemist, bestowed by olden writers because of the wonder-working powers of the plant. ",<200 https://www.anniesremedy.com/alchemilla-vulgaris-mantle.php>,"* Cuts & Wounds,* Dysmenorrhea,* Menorrhagia",European,"* Appetite Depressant,* Astringent,* Depurative,* Emmenagogue,* Refrigerant,* Tonic,* Vulnerary","* Cuts & Wounds,* Dysmenorrhea,* Menorrhagia,cramps and painful menstruation., Cuts, scrapes, and burns"
"How to Use: 
	Kudzu ","Kudzu has shown some promising results in reducing the desire for alcohol in studies. Although the mechanisms through which it works remain unclear, kudzu shows an ability to both , a person drinks, and help prevent ,. ,
 Kudzu increases ,, an action that tends to reduce muscle pain and stiffness, and increases blood flow through the coronary arteries. One kudzu compound is a beta-blocker, which reduces a racing pulse induced by ,.  It has traditionally been used for respiratory infections. Kudzu contains an estrogenlike compound that can binds to
 breast , cells, blocking estrogen that stimulates cancer cells to reproduce.,The starchy root of kudzu is high in complex carbohydrates, helps balance the acidic nature of many foods, and is soothing and cooling to the digestive tract. Powdered kudzu root is used to thicken sauces, especially in Asian cooking. ","
	
	
	 ",<200 https://www.anniesremedy.com/pueraria-lobata-kudzu.php>,"* Addiction,* Alcoholism,* Aphrodisiac,* Cancer Prevention,* Cardiovascular,* Chinese,* Digestion",Traditional Chinese Medicine,,"* Addiction,* Alcoholism,* Aphrodisiac,* Cancer Prevention,* Cardiovascular,* Chinese,* Digestion,decrease the amount of alcohol ,stress,cancer"
"How to Use: 
	Kola Nut ","Kola nuts contain caffeine, which may explain their popular use in energy tonics. Native to Africa, the nuts of this towering tree are also a traditional medicine thought to , Kola is listed as having aphrodisiac, stimulant, and cardiotonic properties in the Duke phytochemical database., ","
	
	
	Cola has been used for centuries in Africa, the seeds were chewed by camel traders on their long journeys to maintain alertness. Cola nuts are important in social ceremonies, the name Cola may come from ",<200 https://www.anniesremedy.com/cola-acuminata-kola-nut.php>,"* African,* Depression,* Fatigue,* Libido",African,"* Antidepressant,* Aphrodisiac,* Cordial,* Stimulant","* African,* Depression,* Fatigue,* Libido"
"How to Use: 
	Kava-Kava ",,"
	
	
	In this shrubs native habitat, Polynesia and the Pacific Ocean Islands , natives calm down by chewing a few leaves, but the best medicine is in the roots, which can be used to make a tea. Kava is used for medicinal, religious, political, cultural and social purposes throughout the Pacific. These cultures have a great respect for the plant and place a high importance on it. ",<200 https://www.anniesremedy.com/piper-methysticum-kava-kava.php>,"* Anxiety,* Aphrodisiac,* Dental/Oral Care,* Dysmenorrhea,* Headache/Migraine,* Polynesian,* Sleep/Insomnia,* Stop Smoking,* Stress","
,
, 
 ,Tropical islands","* Analgesic,* Anodyne,* Antibacterial,* Anxiety,* Calm,* Diaphoretic,* Diuretic,* Expectorant,* Sedative,* Stimulant,* Stress","* Anxiety,* Aphrodisiac,* Dental/Oral Care,* Dysmenorrhea,* Headache/Migraine,* Polynesian,* Sleep/Insomnia,* Stop Smoking,* Stress"
"How to Use: 
	Jojoba "," The structure of jojoba oil closely resembles that of your own skin sebum, your skin's own lubricating medium. This gives jojoba a natural affinity to the skin, and is readily absorbed without making the skin feel greasy or tacky nor does it clog the pores. It has exceptional 
,, as well as the ability to minimize fine lines and wrinkles, promoting skin suppleness while assisting with the rejuvenation of the skin. You will find jojoba oil is many high-end anti-aging creams and lotions, but the oil stands well on it's own in skin care and is a favorite carrier oil in , ","
	
	
	 Despite its scientific name ",<200 https://www.anniesremedy.com/simmondsia-chinensis-jojoba-oil.php>,"* Beauty,* Facial Care,* Massage Oils,* Skin Care",North America,"* Emollient,* Skin tonic","* Beauty,* Facial Care,* Massage Oils,* Skin Care,skin-softening properties,aromatherapy."
