common_name,description,folklore,link,medicinal_uses,origins,properties,tags
milk thistle ," ,  , this handsome plant has been used for , for thousands of years, but until recently was one of herbal medicine's best kept secrets. silymarin, a constituent of milk thistle is now listed in the mereck index as a liver protector and actually helps to regenerate liver cells and protects against damage by toxins and viruses. whole seeds of milk thistle or a tincture made from them are now used in the united states as well as europe for both protection and regeneration of the liver. powdered seeds are also available in capsules.  a frequent drinker, recovering ,, or anyone taking harsh drugs long term, prescription or otherwise, should take milk thistle extract on a daily basis. , the german commission e has approved an extract of 70% silymarin in supporting healthy liver function. , the commission has also approved milk thistle in tea from for minor dyspeptic complaints. milk thistle combines well with dandelion, peppermint or bitters thus combining hepatropic (liver) and choleretic(gallbladder) herbal actions to support better digestion. ", ,silybum marianum milk thistle seed," Addiction, Alcoholism, Liver, Longevity Tonics",European," Bitter, Cholagogue, Depurative, Galactagogue, Hepatic, Uterine Tonic"," addiction, alcoholism, liver, longevity tonics,liver ailments,alcoholic"
mexican oregano ," :, * , ", ,lippia graveolens mexican oregano, Culinary/Kitchen,North America,," culinary/kitchen,late or scanty periods"
meadowsweet ,"meadowsweet is a mild, but effective anti-inflammatory herb used to treat ,and other ,. meadowsweet leaves and flowers contain salicylates,compounds that are converted by the body to aspirin. meadowsweet is especiallyhelpful for those arthritis sufferers who have  , (inflammation of thestomach lining) from years of taking nsaids. while it may seem contradictoryat first, since aspirin and salicylates are know for causing stomach upset, butyears of observation and historic use confirm that meadowsweet is effective ina wide range of ,, including  , in children,. this makes a strong case for the whole herbbeing much more than just the sum of its ""active"" ingredients.",,filipendula ulmaria meadowsweet," Arthritis, Colds, Congestion, Diarrhea, Flu, Gastritis/ulcer, Herbal Teas, Lupus, Rheumatoid_arthritis",",,  ,European"," Astringent, Depurative, Diuretic, Febrifuge, Tonic"," arthritis, colds, congestion, diarrhea, flu, gastritis/ulcer, herbal teas, lupus, rheumatoid_arthritis,arthritis,aches and pains,gastritis,,digestive problems,diarrhea"
mayapple ," :, * , ","used medicinally by native americans, the and studied by the eclectics in the 19th century. dr. john king 'discovered' the root's active resinous compounds in 1835. ",podophyllum peltatum mayapple, Warts,North America," Cathartic, emetic, Vermifuge"," warts, warts"
"mallow, marsh "," ,  , marshmallow is a soothing and healing plant mainly due to it's high mucilage  content. this spongy, gummy fiber soothes all the way down from the mouth and  throat to the urinary tract., it is both , (soothing  on the mucus membranes on the inside) and , (soothing  to inflamed skin on the outside)., mallow acts as a mild expectorant  and helps to clear    , while  it coats , making  it very useful in the treatment of harsh  ,.  marshmallow's tannins make it a popular treatment for , and ,, it also acts as a light diuretic.  to get the full benefits of  marshmallow for these conditions, add chopped marshmallow root to herbal teas  as opposed to taking it in capsule form.,mallow helps to , via it's large concentration of both soluble fiber (pectin), and the mucilage it contains. soluble fiber in food and herbs helps to slow down the release of sugar into the blood stream, helping to control blood sugar spikes after eating.","the generic name althaea is derived from the greek, ",althaea officinalis marsh mallow root," Bladder Infection (UTI), Bronchitis, Burns, Gastritis/ulcer, Nausea, Pet, Sore Throat",," Anti-inflammatory, Antibacterial, Breath, Demulcent, Emollient, Hypoglycemic"," bladder infection (uti), bronchitis, burns, gastritis/ulcer, nausea, pet, sore throat,congestion,sore throats,coughs,uti, stomach
  ulcers,control blood sugar"
sweet marjoram ,"sweet marjoram was used historically to treat ,.  marjoram was also used in combination with other calming  herbs to promote healthy restful  ,,  and the dried leaves make an excellent stuffing for sleep pillows. sweet marjoram  essential oil is used in aromatherapy for an ,. ,sweet marjoram, along with other , may offer a way to help manage ,. these herbs contain several flavonoids that inhibit dpp-iv and should be investigated further regarding their potential in diabetes management. ", ,origanum majorana marjoram sweet," Aromatherapy, Culinary/Kitchen, Sleep/Insomnia",," Analgesic, Antioxidant, Antispasmodic, Aromatic, Calm, Carminative, Cordial, Digestive, Emmenagogue, Expectorant, Hypotensive, Laxative, Nervine, Sedative, Warm"," aromatherapy, culinary/kitchen, sleep/insomnia,anxiety,sleep,culinary herbs ,diabetes"
maple ,, ,acer saccharinum maple, Spring Tonics,,, spring tonics
orange ," oranges are a healthy source of vitamin c and other nutrients as well as one of the most versatile ,. orange oils are well known as , and wood surface conditioners. orange peel is used as a zest in cooking and also traditionally used as a tea.  ,mandarin orange - (tangerine) , ,the red, aromatic peel of the mandarin orange is used in traditional chinese medicine to treat allergic reactions and digestive upsets. orange can be combined with , to relieve ,, with magnolia for bloating, with rhubarb root for constipation, and with gardenia fruit for slow digestion after long-term illness. "," the first mention of oranges comes from the writings of the arabs, both the common and official names are derived from the sanskirt nagaranga thought the arabic naranj. the romans drank orange-flower water to reduce hangovers. ",citrus sinensis orange," Aromatherapy, Cardiovascular, Chinese, Facial Care, Green Home, Herbal Teas, Sleep/Insomnia",Traditional Chinese Medicine," Antidepressant, Antifungal, Antioxidant, Antiscorbutic, Antispasmodic, AntiViral, Aphrodisiac, Aromatic, Astringent, Calm, Cordial, Cytophylactic, Deodorant/Perfumes, Depurative, Digestive, Emmenagogue, Hypotensive, Mood, Nervine, Refrigerant, Sedative, Stress, Vasodilator"," aromatherapy, cardiovascular, chinese, facial care, green home, herbal teas, sleep/insomnia,aromatherapy oils,cleansing agents,menstrual cramps"
maitake mushroom ," maitake mushroom's use as an , arose in classic chinese and japanese medicine.  maitake mushrooms extracts have shown to increase activity of immune cells in laboratory tests, which bear out its traditional use as a , this delicious mushroom also contains a number of polysaccharides (beta-glucan) that have been shown to fight the formation and growth of tumors, putting maitake in use in , strategies., maitake helps to protect and support the , and can ,. mushroom extracts can also have a long term beneficial effect on ,, and may also be useful for ", ,grifola frondosa maitake mushroom," Cancer Prevention, Hypertension, Immune, Liver, Longevity Tonics, Nutrition",Traditional Chinese Medicine," Adaptogens, Hepatic, Hypotensive, Immunostimulant"," cancer prevention, hypertension, immune, liver, longevity tonics, nutrition,immune system tonic.,cancer prevention,liver ,blood-glucose levels,weight loss."
maidenhair fern ,, ,adiantum capillus veneris,,,,
magnolia ," :, * , ", ,magnolia glauca,,North America,,
maca ,"maca has been growing in world popularity over the last several years due  to several large u.s. marketing campaigns touting its energizing and hormonal  balancing properties. as a  ,, maca may help with menstrual irregularities, female hormonal imbalances,  and unwanted symptoms of ,. , maca  root is often combined with other herbs like , to  help increase libido, and to assist both sexes in promoting a ,.,other uses concentrate on maca as a energy tonic in those debilitated with  chronic , syndrome.  , the synergy of so many amino acids, vitamins, and minerals in their natural states may increase the assimilation, uptake, and utilization of them in the body makes maca a good source of energy and nutrition. ", native peruvians traditionally have utilized maca since pre-incan times for both nutritional and medicinal purposes ,lepidium peruvianum maca root," Aphrodisiac, Immune, Libido, Longevity Tonics, Menopause",",,  "," Adaptogens, Immunostimulant, Phytoestrogen"," aphrodisiac, immune, libido, longevity tonics, menopause,female
  tonic,menopause,healthy
  sexual response,fatigue"
lotus ,"the rhizomes and leaves of the lotus are combined with other herbs in china, india and other asian traditional medicines to treat sunstroke, fever, diarrhoea, and the whole plant is used to treat mushroom poisoning. lotus flowers are recommended as a , and the stamens are used to treat urinary frequency. lotus is also considered to ,.  the flowers have diuretic, astringent, and cooling properties. ","the lotus is one of the worlds most sacred plants, and has been used in traditional medicine for thousands of years. ",nelumbo nucifera lotus," Ayurvedic, Cardiovascular, Diarrhea, Libido, Sleep/Insomnia",," Astringent, Circulation, Cordial, Demulcent, Depurative, Febrifuge, Refrigerant, Sedative, Skin tonic, Styptic, Vasodilator"," ayurvedic, cardiovascular, diarrhea, libido, sleep/insomnia"
"long pepper, pippali ",, ,piper longum long pepper pippali, Ayurvedic,",,  ,Ayurvedic"," Antibacterial, Astringent, Carminative, Cholagogue, Diaphoretic, Emmenagogue, Vermifuge", ayurvedic
lobelia ," ,  ,lobelia acts as a relaxant in the presence of pain, and is useful in bronchitis and asthma as an expectorant and stimulant of the respiratory system. ,the herb contains an alkaloid, lobeline, that shares many properties with nicotine, which may be helpful in treating tobacco withdrawal symptoms. a decoction can also be applied externally to minor skin irritations, and to treat sprains, and bruising. ,native americans smoked the leaves of lobelia, known to colonists as indian tobacco, to ease asthma.  , early american  remedies called for a mix of three parts tincture of lobelia with one part tincture of capsicum (red pepper, cayenne pepper). ","the name indian tobacco might have arisen either from the peculiar tobacco-like sensation imparted to the tongue and stomach on chewing the leaves, or from the fact that the american indians often smoked the dried leaves to produce the effect of the drug. samuel thomson claims to have discovered the virtues of the plant, though without doubt his first ideas of its emetic property were gathered from the indians. he went so far as to claim it curative in all disorders, giving it with such a reckless hand that he fatally poisoned one of his patients, a certain ezra lovett, for which he was arrested on the charge of murder, escaping punishment because said lovett was foolish enough to take the prescription of a man who claimed to carry such potent  drugs as ""well-my-gristle"" and ""ram-cats.""",lobelia inflata," Addiction, Asthma, Bronchitis, Cough, Sore Throat, Stop Smoking",",,  ,North America"," Aromatic, Breath, Diaphoretic, emetic, Expectorant, Mental Clarity, Nervine, Stimulant"," addiction, asthma, bronchitis, cough, sore throat, stop smoking"
lime ,, ,citrus aurantifolia lime oil," Aromatherapy, Facial Care, Sore Throat",," Antibacterial, Antirheumatic, Antiscorbutic, Aromatic, Astringent, Depurative, Energize, Febrifuge, Mental Clarity, Mood, Refresh, Refrigerant"," aromatherapy, facial care, sore throat"
licorice ,"many herbalists regard licorice as a natural alternative to hydrocortisone as it acts much like your body's own natural corticosteroids.  among its many medicinal benefits, licorice is considered an adrenal tonic, in particular, it increases production of the very chemicals that aid in the body's  recovery from chronic , and ,. ,the herb's action as a  fast-acting anti-inflammatory agent  are attributed to the steroid-like actions of the triterpenes , and  ,ga). , is a glycoside, a carbohydrate that yields a sugar and a non-sugar when broken. it tastes 50 times sweeter than sugar and is the major triterpenoid in licorice. , blocks prostaglandin production and inflammation with an , action similar to hydrocortisone. , although it supports the body's release of cortisol, it also inhibits some of the more detrimental side effects of that hormone's presence. it is used in many formulations to activate and increase the effects of other herbs. licorice can also be used topically to tame autoimmune inflammatory reactions such as psoriasis. , ,licorice is often used in bronchitis and cough remedies to soothe sore throats. it is expectorant, anti-inflammatory, and directly antiviral. a licorice derivative, deglycyrrhizinated licorice (dgl) is an excellent demulcent, and  commonly used for throat, stomach, urinary, and intestinal irritations. licorice has estrogenic and other steroidal properties and is used to normalize and regulate hormone production.  ,altogether licorice root has  such wide ranging and diverse medicanal properties it is no wonder it remains one the most widely used herbs in the traditions of many cultures both east and west.","licorice is not really a flavor, rather the herb licorice has the sweet, somewhat musty flavor of anise. licorice root is derived from the mediterranean native species ",glycyrrhiza glabra licorice root," Addiction, Anxiety, Bronchitis, Candida/yeast, Chinese, Colds, Congestion, Fatigue, IBS, Psoriasis, Sore Throat, Stop Smoking",Traditional Chinese Medicine," Antitussive, Breath, Depurative, Phytoestrogen"," addiction, anxiety, bronchitis, candida/yeast, chinese, colds, congestion, fatigue, ibs, psoriasis, sore throat, stop smoking,anxiety,stress,antiarthritic"
lemon balm ,"herbalists refer to the plant as lemon balm, aromatherapists use the botanical name melissa, both refer to the same plant, ,. lemon balm is an aromatic mint with a venerable reputation for having calming properties. lemon balm can be very helpful for those times when nerves, headaches and/or mild depression are preventing you from relaxing and getting a good nights sleep. combined with valerian, it may even be more beneficial than many prescription sleep aids., lemon balm's sedative and analgesic properties make it a favorite remedy for women having cramping, painful periods or any kind of stomach upset.  ,lemon balm has antibacterial and antiviral properties, and like all of it's mint family relatives, a cup of hot lemon balm tea induces perspiration to help break a fever making the herb useful for treating colds and flu.  lemon balm extracts are also effective against herpes, cold sores and mumps viruses. , a concentrated extract of melisa is sold in europe for the treatment of core sores, herpes hsv-1 and hsv-2, genital herpes.",melissa was known as ,melissa officinalis lemon balm," Anxiety, Aromatherapy, Beauty, Cardiovascular, Colds, Depression, Dysmenorrhea, Herbal Teas, Herpes/Cold Sores, Hypertension, Insect/flea Bites, Nausea, Pregnancy/Childbirth, Sore Throat, Sunburns",," Anodyne, Antidepressant, Antispasmodic, AntiViral, Anxiety, Aromatic, Calm, Cordial, Diaphoretic, Digestive, Emmenagogue, Febrifuge, Hypotensive, Mood, Nervine, Sedative, Stomachic, Stress, Uterine Tonic, Vermifuge"," anxiety, aromatherapy, beauty, cardiovascular, colds, depression, dysmenorrhea, herbal teas, herpes/cold sores, hypertension, insect/flea bites, nausea, pregnancy/childbirth, sore throat, sunburns"
lemon verbena ,,introduced to the old world in the 17th century by spanish explorers. ,aloysia citriodora lemon verbena," Culinary/Kitchen, Diarrhea, Nausea",",,  "," Antispasmodic, Aromatic, Carminative"," culinary/kitchen, diarrhea, nausea"
lemon ,"lemon is one of natures most versatile fruits, and because of its high vitamin c content, antibacterial and astringent properties, lemon is the de facto garnish in herbal teas. lemon is used in herbal medicine to help build immunity against colds, influenza, and other viral infections. in her classic work, grieve tells us lemon is a good astringent to use in gargles for sore throats as wise women well know. lemon is very effective for disinfecting and cleaning household surfaces, and leaves a fresh clean scent.(2) adding a simple slice of lemon to water not only improves taste, it provides citric acid, purifies the water, and balances ph levels.,lemons are an old standby for home beauty treatments. lemon and lemon oil help to prevent wrinkles while adding a refreshing note in facial washes and masks. applying lemon juice to facial blemishes is another popular home remedy for treating acne. putting lemon juice on your hair and then lying in the sun was how a country girl went about getting highlights in my youth. lemon is very astringent which is why is works so well, but also why you have to be careful not to use so much that the end result is dry, flaky skin and hair. lemon essential oil can be used for many of the same applications as fresh lemons, without being quite as drying. fresh lemons are becoming so expensive, especially during the winter months, that lemon essential oil may be the better bargain as well.","the name limonum is derived from the arabic limun or limu, which in turn probably comes from the sanscrit nimbuka. there are several different varieties of ",citrus limonum lemon," Acne , Beauty, Cellulite, Culinary/Kitchen, Facial Care, Green Home, Herbal Steam, Herbal Teas, Hypertension, Sore Throat, Varicose Veins, Wrinkles",," Adaptogens, Antibacterial, Antiscorbutic, AntiViral, Aromatic, Astringent, Balance, Bitter, Calm, Coagulant/Hemostatic, Depurative, Energize, Mental Clarity, Mood, Refresh, Refrigerant"," acne , beauty, cellulite, culinary/kitchen, facial care, green home, herbal steam, herbal teas, hypertension, sore throat, varicose veins, wrinkles"
ladys mantle ," lady's mantle is found both in the wild and in cultivated gardens. it has a time honored traditional use as a woman's healing herb. it contains salicylic acid and has sedative properties that help to alleviate ,   mantle has astringent and styptic properties, on account of the tannin it contains. lady's mantle has a 'drying and binding character', according to the old herbals expressed and was traditionally considered one of the best vulneraries or wound herbs.  , can be treated with skin washes of lady's mantle to prevent infection.","the name alchemilla, comes from the arabic 'alkemelych',  alchemist, bestowed by olden writers because of the wonder-working powers of the plant. ",alchemilla vulgaris mantle," Cuts & Wounds, Dysmenorrhea, Menorrhagia",European," Appetite Depressant, Astringent, Depurative, Emmenagogue, Refrigerant, Tonic, Vulnerary"," cuts & wounds, dysmenorrhea, menorrhagia,cramps and painful menstruation., cuts, scrapes, and burns"
lavender ,"quite a number of clinical trials confirm the conventional wisdom that lavender relaxes the  body in the presence of pain, most likely by reducing anxiety levels. a calm  mental state makes pain more bearable, lessening it's impact by reducing  the perception of pain. ,however you don't need to depend on lab studies to gauge the effects; lavender is so easy and safe to use, it is quite easy to judge the effects yourself as they are immediate and quite apparent.  for headaches apply a few drops of lavender oil neat to the temples. massage  with lavender oil at tender trigger points reduces the pain  and tension of , in long term sufferers., lavender combines well with  the analgesic power of ,  to relieve all types of pain:  ,,,, and ,. lavender can also be used in  a massage oil to relieve the pain and arthritic stiffness older ,.      ,: lavender is well regarded for it's, properties as well. it's effectiveness in treating, was first discovered by french biochemist rené gattefossé when he cooled his hand in a handy vat of lavender after burning it in a lab accident. this storied burn healed so quickly, and without scarring, that it is often cited as a seminal event in the birth a modern aromatherapy. , to make a all purpose remedy for scalds, burns, and  ,:  apply a cloth wet with ,, then apply a few drops of lavender  essential oil directly to the burn. to treat skin abrasions first clean the affected area with warm water with 5 drops of lavender diluted in a bowl. apply one neat drop of lavender and leave to heal. ,responds to gentle herbal oil treatments that are much lighter and less harsh than over-the-counter chemicals. lavender skin care products are ideal for oily and combination skin.  dot essential oils of lavender, , and, on blemishes to kill bacteria. you can also blend these essential oils with  light, astringent facial oils like almond and grapeseed, or make a facial wash with lavender herbal tea. lavender oil is an effective antiseptic.  a lavender massage on the chest and lymph nodes is relaxing and helps kill germs. lavender flower water, or a few drops of lavender essential oil make a good balancing and sweet smelling perfume.,use lavender sachet bags to protect clothes against moths. also flies and mosquitoes dislike the fragrance, use the oil in insect sprays, or add the cut flowers to flower vases. lavender is anti-inflammatory and antiseptic. a tea made from the fresh or dried flowers can be applied as a skin wash for both pets and people to relieve itching due to flea bites and rashes, or the essential oil can be used.", ,lavandula lavender," Acne , Anxiety, Aromatherapy, Beauty, Burns, Candida/yeast, Children, Colds, Culinary/Kitchen, Cuts & Wounds, Depression, Ear, Facial Care, Fibromyalgia, Headache/Migraine, Herbal Steam, Hypertension, IBS, Insect Repellent, Insect/flea Bites, Lice, Lupus, Nausea, Pet, Pregnancy/Childbirth, Skin Care, Sleep/Insomnia",European," Analgesic, Antidepressant, Antifungal, Antioxidant, Antirheumatic, AntiViral, Aromatic, Balance, Calm, Cholagogue, Cicatrisant, Cordial, Cytophylactic, Deodorant/Perfumes, Diaphoretic, Diuretic, Emmenagogue, Hypotensive, Insect repellents, Mood, Muscle Relaxant, Nervine, Parturient, Sedative, Splenic, Stress, Vermifuge, Vulnerary"," acne , anxiety, aromatherapy, beauty, burns, candida/yeast, children, colds, culinary/kitchen, cuts & wounds, depression, ear, facial care, fibromyalgia, headache/migraine, herbal steam, hypertension, ibs, insect repellent, insect/flea bites, lice, lupus, nausea, pet, pregnancy/childbirth, skin care, sleep/insomnia,mild depression,anxiety,high blood pressure and improve circulation. ,pregnancy,fibromyalgia,arthritis, sore muscles,nerve pain,dogs, (but not cats), skin healing, burns,sunburns,acne "
kudzu ,"kudzu has shown some promising results in reducing the desire for alcohol in studies. although the mechanisms through which it works remain unclear, kudzu shows an ability to both , a person drinks, and help prevent ,. , kudzu increases ,, an action that tends to reduce muscle pain and stiffness, and increases blood flow through the coronary arteries. one kudzu compound is a beta-blocker, which reduces a racing pulse induced by ,.  it has traditionally been used for respiratory infections. kudzu contains an estrogenlike compound that can binds to breast , cells, blocking estrogen that stimulates cancer cells to reproduce.,the starchy root of kudzu is high in complex carbohydrates, helps balance the acidic nature of many foods, and is soothing and cooling to the digestive tract. powdered kudzu root is used to thicken sauces, especially in asian cooking. ", ,pueraria lobata kudzu," Addiction, Alcoholism, Aphrodisiac, Cancer Prevention, Cardiovascular, Chinese, Digestion",Traditional Chinese Medicine,," addiction, alcoholism, aphrodisiac, cancer prevention, cardiovascular, chinese, digestion,decrease the amount of alcohol ,stress,cancer"
kola nut ,"kola nuts contain caffeine, which may explain their popular use in energy tonics. native to africa, the nuts of this towering tree are also a traditional medicine thought to , kola is listed as having aphrodisiac, stimulant, and cardiotonic properties in the duke phytochemical database., ","cola has been used for centuries in africa, the seeds were chewed by camel traders on their long journeys to maintain alertness. cola nuts are important in social ceremonies, the name cola may come from ",cola acuminata kola nut," African, Depression, Fatigue, Libido",African," Antidepressant, Aphrodisiac, Cordial, Stimulant"," african, depression, fatigue, libido"
kava-kava ,,"in this shrubs native habitat, polynesia and the pacific ocean islands , natives calm down by chewing a few leaves, but the best medicine is in the roots, which can be used to make a tea. kava is used for medicinal, religious, political, cultural and social purposes throughout the pacific. these cultures have a great respect for the plant and place a high importance on it. ",piper methysticum kava kava," Anxiety, Aphrodisiac, Dental/Oral Care, Dysmenorrhea, Headache/Migraine, Polynesian, Sleep/Insomnia, Stop Smoking, Stress",",,  ,Tropical islands"," Analgesic, Anodyne, Antibacterial, Anxiety, Calm, Diaphoretic, Diuretic, Expectorant, Sedative, Stimulant, Stress"," anxiety, aphrodisiac, dental/oral care, dysmenorrhea, headache/migraine, polynesian, sleep/insomnia, stop smoking, stress"
jojoba ," the structure of jojoba oil closely resembles that of your own skin sebum, your skin's own lubricating medium. this gives jojoba a natural affinity to the skin, and is readily absorbed without making the skin feel greasy or tacky nor does it clog the pores. it has exceptional ,, as well as the ability to minimize fine lines and wrinkles, promoting skin suppleness while assisting with the rejuvenation of the skin. you will find jojoba oil is many high-end anti-aging creams and lotions, but the oil stands well on it's own in skin care and is a favorite carrier oil in , ", despite its scientific name ,simmondsia chinensis jojoba oil," Beauty, Facial Care, Massage Oils, Skin Care",North America," Emollient, Skin tonic"," beauty, facial care, massage oils, skin care,skin-softening properties,aromatherapy."
jasmine ,"legendary jasmine is a sensual delight, and is one of the principle oils used in perfumes and ointments for dry sensitive skin. in aromatherapy, jasmine absolute oil in used to uplift the spirits in cases of apathy, depression, menopausal disorders, and lack of confidence. a legendary aphrodisiac, jasmine's sweet scent has a profound effect on frigidity and impotence. it can relax the mother and help relieve the pain of childbirth and is thought to increase breastmilk.", ,jasminum officinale jasmine flower oil," Aphrodisiac, Aromatherapy, Ayurvedic, Beauty, Chinese, Dysmenorrhea, Facial Care, Female Hormones, IBS","Ayurvedic,Traditional Chinese Medicine"," Anodyne, Antidepressant, Aphrodisiac, Aromatic, Astringent, Confidence, Emmenagogue, Galactagogue, Mood, Parturient, Sedative, Uterine Tonic"," aphrodisiac, aromatherapy, ayurvedic, beauty, chinese, dysmenorrhea, facial care, female hormones, ibs"
jambul ,"the fruit and seeds of the jambul tree have long been used in eastern traditional medicine, and are gaining more interest here in the west for the treatment of , practitioners of ayurveda in india value jambul for lowering blood sugar and researchers are investigating its potential as a male contraceptive. jambul is used in unani and chinese medicine for digestive ailments. the leaves and bark are used for controlling blood pressure and gingivitis. wine and vinegar are also made from the fruit. it has a high source in vitamin a and vitamin c. ", ,eugenia jambolana, Diabetes,",,  ,Ayurvedic,Southeast Asia"," Carminative, Hypoglycemic"," diabetes,diabetes."
jamaican dogwood ,"jamaican dogwood is a fairly potent sedative well known as a specific for ,, ,,  and for treatment of ,   caused by ,, nervous tension, and stress.      the  bark is ,and antispasmodic and can be used in cases of ,  (painful periods). jamaican dogwood is a strong analgesic that can be used  along with other herbs to treat the musculoskeletal pain of   , and ","this tropical shrub grows wild in central america and the northern parts of south america. the bark of the root works similarly to aspirin pain relievers by blocking an enzyme that produces  inflammatory and pain causing chemicals called prostaglandins.  it gained its nickname ""fish poison tree"" from the west indian practice of using it to stupify fish to make them easier to catch. ",piscidia piscipula jamaican dogwood," Arthritis, Headache/Migraine, Nerve/Back Pain, Pain Relief, Sleep/Insomnia, South_American",Central and South America," Analgesic, Anti-inflammatory, Antispasmodic, Anxiety, Nervine, Sedative"," arthritis, headache/migraine, nerve/back pain, pain relief, sleep/insomnia, south_american,migraine headaches,neuralgia,insomnia,pain ,dysmenorrhea,arthritis,rheumatism."
jalap ,, ,convolvulus jalapa,,, Purgative,
orris root ,, ,iris germanica orris root, Deodorants/Perfumes,",,  ,European,North America"," Cholagogue, Deodorant/Perfumes, emetic", deodorants/perfumes
jewel weed ,"these exquisite, bright flowers, hanging at a horizontal, like jewels from a lady's ear, may be responsible for the plant's folk-name; but whoever is abroad early on a dewy morning, or after a shower, and finds notched edges of the drooping leaves hung with scintillating gems, dancing, sparkling in the sunshine, sees still another reason for naming this the jewel-weed. in a brook, pond, spring, or wayside trough, which can never be far from its haunts, dip a spray of the plant to transform the leaves into glistening silver. they shed water much as the nasturtiums do.,familiar as we may be with the nervous little seed-pods of the touch-me-not,which children ever love to pop and see the seeds fly, as they do from balsam pods in grandmother's garden, they still startle with the suddenness of their volley. touch the delicate hair-trigger at the end of a capsule, and the lightning response of the flying seeds makes one jump., :, * , ",under the name of jewelweed the herbage of ,impatiens capensis jewel weed," Eczema, Insect/flea Bites, Rashes, Spring Tonics",North America," Insect repellents, Skin tonic"," eczema, insect/flea bites, rashes, spring tonics"
horsetail ,"the primary use of the horsetail  is as a diuretic. gently stimulating increased urinary flow, horsetail helps ""flush"" infectious bacteria out of the bladder without altering the body's balance of electrolytes. the powdered form of the herb is better when electrolytes may be depleted. it's also the form of the herb being investigated as a treatment for age-related memory impairment. ,,while horsetail is accepted in herbal traditions as a proven herb to maintainhealthy skin, nails and hair, the supposition that silica is main active ingredientresponsible for these properties is questioned by some modern herbalists. the objectiveevidence is sorely lacking both for the bioavailability of silica and the rolesilicon plays in the body. this is not to say horsetail is not effective, but rather calls into question the mechanism by which this most ancient of plants affects human metabolism.", ,equisetum arvense horsetail," Bladder Infection (UTI), Kidney, Osteoporosis",," Antiscorbutic, Astringent, Diuretic, Refrigerant, Styptic, Tonic"," bladder infection (uti), kidney, osteoporosis"
horseradish , ,"  this plant has been in cultivation from the earliest times, but its exact place of origin seems to be obscure. some consider it to be decended from ",armoracia rusticana horseradish root," Athletes Foot/Ringworm, Bladder Infection (UTI), Bronchitis, Congestion, Cough, Gout, Herpes/Cold Sores, Scabies",," Antibacterial, Antiscorbutic, Bitter, Circulation, Diaphoretic, Diuretic, Expectorant, Rubefacient, Stimulant"," athletes foot/ringworm, bladder infection (uti), bronchitis, congestion, cough, gout, herpes/cold sores, scabies,sinuses,cold remedy,chest and sinus congestion,sore throat,urinary infections,gout and rheumatism,circulation"
horse chestnut ," horse chestnut is valued in herbal medicine for it's support of the ,. the herb is  anti-inflammatory which decreases swelling and astringent    which reduces bleeding and adds tone to connective tissue. much of the medicinal    value of horse chestnut is attributed to the phytochemical aescin, which    has a stabilizing action on veins and capillaries. this strengthening of    veins improves circulation to areas of , andheals ,. , aescinalso ""firms up"" , (including  ,)by increasing the tone of the muscle layers underlying them.  ,look for creams containing horse chestnut as a defense against, andin body lotions to help reduce cellulite. horse chestnut can be combined withother herbs to treat chronic coughs with congestion.", ,aesculus hippocastanum horse chestnut," Beauty, Bruises/sprains, Cellulite, Diarrhea, Varicose Veins",European," Analgesic, Astringent, Circulation, Febrifuge, Skin tonic"," beauty, bruises/sprains, cellulite, diarrhea, varicose veins,circulatory
    system,cellulite,bruising,varicose
veins,hemorrhoids, wrinkles"
horehound ," the uses of horehound have come down to us from the greeks, romans, and from our own north american herbal traditions. you can still find old fashioned , sold in pharmacies, but homemade ones are best in my opinion. horehound was an accepted medicinal plant in the u.s. pharmacopoeia until 1989 and is still endorsed in europe as an effective ,medicine. , horehound is a well regarded , and cold remedy as well as a bitter tonic. as is common with all the , herbs, horehound stimulates ,, easing bloating and gas. horehound contains the bitter principal marrubiin (sometimes spelled marubin), a potent pain reliever, nervous system stimulant, and ,. marrubiin and marrubinic acid also help stabilize  , rhythm. ","the egyptians and romans esteemed horehound for  coughs and colds, the same uses as it is recommend by modern herbalists. for centuries white horehound has been traditionally a reliable liver and digestive remedy. the plant has also been used to reduce fevers and treat malaria.this is one of the bitter herbs ordained to be eaten at passover supper by the jews. gerard also recommended it as an antidote for posions and for ""mad dogge biting"". ",marrubium vulgare horehound," Bronchitis, Cardiovascular, Colds, Cough, Sore Throat",," Appetite Depressant, Astringent, Bitter, Breath, Cholagogue, Demulcent, Emmenagogue, Expectorant, Hepatic"," bronchitis, cardiovascular, colds, cough, sore throat,cold ,cough,digestion,heart"
